,state,action,reward,new_state,terminal
27,"(0.2716735601425171, -0.16810719668865204, -0.004597701597958803, 0.0030392587184906008, 0.0018302634358406068, -7.84731935709715e-05, 1.1681076288223267, -0.057824429124593735)","[0, 1]",-1.5908843044260594,"(0.3012048304080963, -0.14801013469696045, -0.005360730923712254, 0.0029531270265579224, 0.002009706199169159, -7.630293257534505e-05, 1.1681076288223267, -0.05084311217069626)",False
28,"(0.3012048304080963, -0.14801013469696045, -0.005360730923712254, 0.0029531270265579224, 0.002009706199169159, -7.630293257534505e-05, 1.1681076288223267, -0.05084311217069626)","[-1, 1]",-1.5726316549131913,"(0.32929062843322754, -0.1244329959154129, -0.006092026364058256, 0.0028085798025131226, 0.0023577138781547546, -7.312954403460026e-05, 1.0681076049804688, -0.04386179521679878)",False
29,"(0.32929062843322754, -0.1244329959154129, -0.006092026364058256, 0.0028085798025131226, 0.0023577138781547546, -7.312954403460026e-05, 1.0681076049804688, -0.04386179521679878)","[1, 0]",-1.4670938749810016,"(0.3523856997489929, -0.0959591194987297, -0.006740933284163475, 0.002309507131576538, 0.00284738764166832, -6.48906920105219e-05, 1.1681076288223267, -0.04386179521679878)",False
30,"(0.3523856997489929, -0.0959591194987297, -0.006740933284163475, 0.002309507131576538, 0.00284738764166832, -6.48906920105219e-05, 1.1681076288223267, -0.04386179521679878)","[0, -1]",-1.5888333553964888,"(0.3641939163208008, -0.06249767169356346, -0.007217720150947571, 0.0011808216571807862, 0.0033461447805166245, -4.767868667840958e-05, 1.1681076288223267, -0.05084311217069626)",False
31,"(0.3641939163208008, -0.06249767169356346, -0.007217720150947571, 0.0011808216571807862, 0.0033461447805166245, -4.767868667840958e-05, 1.1681076288223267, -0.05084311217069626)","[-1, 1]",-1.663748618000532,"(0.35762977600097656, -0.02646012231707573, -0.0074191405437886715, -0.0006564140319824219, 0.0036037549376487735, -2.014203928411007e-05, 1.0681076049804688, -0.04386179521679878)",False
32,"(0.35762977600097656, -0.02646012231707573, -0.0074191405437886715, -0.0006564140319824219, 0.0036037549376487735, -2.014203928411007e-05, 1.0681076049804688, -0.04386179521679878)","[-1, 0]",-1.5349073545583736,"(0.32903245091438293, 0.006923000793904066, -0.007286216598004103, -0.002859732508659363, 0.00333831231109798, 1.3292394578456879e-05, 0.9681075811386108, -0.04386179521679878)",False
33,"(0.32903245091438293, 0.006923000793904066, -0.007286216598004103, -0.002859732508659363, 0.00333831231109798, 1.3292394578456879e-05, 0.9681075811386108, -0.04386179521679878)","[-1, -1]",-1.4428917524184992,"(0.2826128900051117, 0.031291376799345016, -0.00686781108379364, -0.004641956090927124, 0.002436837600544095, 4.184055142104626e-05, 0.8681075572967529, -0.05084311217069626)",False
34,"(0.2826128900051117, 0.031291376799345016, -0.00686781108379364, -0.004641956090927124, 0.002436837600544095, 4.184055142104626e-05, 0.8681075572967529, -0.05084311217069626)","[1, 1]",-1.4049146565435595,"(0.23104771971702576, 0.04258817061781883, -0.006333132740110159, -0.005156517028808594, 0.0011296793818473816, 5.346783436834812e-05, 0.9681075811386108, -0.04386179521679878)",False
35,"(0.23104771971702576, 0.04258817061781883, -0.006333132740110159, -0.005156517028808594, 0.0011296793818473816, 5.346783436834812e-05, 0.9681075811386108, -0.04386179521679878)","[0, -1]",-1.3860956511277216,"(0.18989071249961853, 0.041908327490091324, -0.00589795270934701, -0.004115700721740723, -6.798431277275086e-05, 4.351800307631493e-05, 0.9681075811386108, -0.05084311217069626)",False
36,"(0.18989071249961853, 0.041908327490091324, -0.00589795270934701, -0.004115700721740723, -6.798431277275086e-05, 4.351800307631493e-05, 0.9681075811386108, -0.05084311217069626)","[-1, 0]",-1.4205165312377748,"(0.16887487471103668, 0.03505374491214752, -0.00570354238152504, -0.0021015837788581847, -0.0006854582577943803, 1.9441032782197e-05, 0.8681075572967529, -0.05084311217069626)",False
